new entry "Target_EarwormRage"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "ActionPoints" "2"
data "Cooldown" "5"
data "AIFlags" "CanNotUse"
data "SkillProperties" "MADNESS,100,1"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "AddWeaponRange" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "Yes"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "TargetConditions" "Character;Enemy"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Origins_MaddeningSong"
data "DisplayName" "Target_EarwormRage_DisplayName"
data "DisplayNameRef" "Earworm Rage"
data "Description" "Target_EarwormRage_Description"
data "DescriptionRef" "|Characters in target area become Mad, attacking nearest character.|"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Prepare_Voodoo_MaddeningSong_Root_01,KeepRot,Detach:Dummy_Root;RS3_FX_Skills_Prepare_Voodoo_MaddeningSong_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_target_voodoo_01_cast"
data "CastSelfAnimation" "skill_cast_target_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Cast_Target_Voodoo_MaddeningSong_Root_01,KeepRot:Dummy_Root:cast;RS3_FX_Skills_Cast_Target_Voodoo_MaddeningSong_Hand_01:Dummy_L_HandFX:cast"
data "TargetEffect" "RS3_FX_Skills_Voodoo_MaddeningSong_Impact_01:root:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Voodoo_MaddeningSong_Impact_01:root:cast"

